id,target_feature
0,0
1,2
2,2
3,0
4,1
5,1
6,2
7,0
8,1
9,2
10,2
11,0
12,0
13,2
14,1
15,0
16,2
17,0
18,1
19,1
20,1
21,0
22,1
23,1
24,0
25,2
26,0
27,1
28,2
29,2
30,0
31,2
32,2
33,1
34,1
35,2
36,0
37,1
38,1
39,1
40,2
41,0
42,2
43,2
44,2
45,2
46,2
47,1
48,0
49,0
50,1
51,1
52,2
53,1
54,0
55,1
56,0
57,2
58,1
59,1
60,2
61,1
62,2
63,1
64,1
65,2
66,1
67,2
68,0
69,1
70,2
71,2
72,1
73,2
74,1
75,1
76,2
77,2
78,1
79,2
80,0
81,2
82,1
83,2
84,1
85,1
86,2
87,2
88,0
89,1
90,0
91,1
92,0
93,0
94,2
95,2
96,0
97,2
98,1
99,1
100,1
101,0
102,2
103,1
104,1
105,1
106,2
107,2
108,1
109,0
110,2
111,1
112,1
113,1
114,0
115,1
116,2
117,1
118,1
119,0
120,1
121,0
122,1
123,2
124,0
125,2
126,0
127,2
128,2
129,0
130,1
131,0
132,0
133,1
134,1
135,1
136,0
137,1
138,0
139,2
140,1
141,1
142,2
143,2
144,2
145,0
146,2
147,2
148,2
149,1
150,1
151,1
152,2
153,2
154,1
155,2
156,0
157,0
158,2
159,2
160,1
161,0
162,0
163,0
164,1
165,2
166,1
167,2
168,1
169,1
170,1
171,0
172,0
173,2
174,1
175,2
176,0
177,0
178,0
179,1
180,0
181,0
182,1
183,2
184,2
185,1
186,2
187,0
188,0
189,2
190,0
191,1
192,1
193,0
194,2
195,2
196,0
197,1
198,0
199,0
200,0
201,1
202,2
203,0
204,0
205,0
206,0
207,0
208,1
209,2
210,2
211,2
212,1
213,0
214,2
215,2
216,0
217,2
218,0
219,1
220,2
221,1
222,1
223,1
224,2
225,2
226,2
227,0
228,0
229,1
230,0
231,2
232,0
233,0
234,1
235,1
236,1
237,1
238,2
239,0
240,1
241,2
242,0
243,1
244,2
245,1
246,2
247,1
248,1
249,1
250,0
251,2
252,0
253,0
254,1
255,0
256,0
257,1
258,2
259,0
260,0
261,2
262,1
263,1
264,2
265,1
266,0
267,0
268,2
269,1
270,0
271,0
272,1
273,0
274,2
275,2
276,1
277,2
278,1
279,0
280,1
281,2
282,1
283,1
284,2
285,0
286,2
287,2
288,2
289,1
290,0
291,1
292,0
293,0
294,1
295,2
296,2
297,2
298,2
299,0
300,0
301,2
302,2
303,1
304,2
305,1
306,0
307,1
308,1
309,1
310,2
311,2
312,1
313,0
314,0
315,2
316,1
317,2
318,0
319,2
320,2
321,1
322,0
323,2
324,0
325,0
326,1
327,2
328,1
329,1
330,0
331,1
332,0
333,2
334,2
335,2
336,2
337,2
338,1
339,0
340,1
341,1
342,1
343,1
344,0
345,0
346,1
347,1
348,2
349,1
350,1
351,2
352,0
353,2
354,0
355,1
356,0
357,1
358,0
359,0
360,2
361,1
362,2
363,2
364,1
365,0
366,0
367,2
368,0
369,2
370,0
371,0
372,1
373,0
374,2
375,1
376,1
377,1
378,0
379,0
380,0
381,0
382,2
383,0
384,0
385,0
386,2
387,1
388,1
389,2
390,0
391,0
392,1
393,0
394,0
395,1
396,0
397,2
398,1
399,0
400,0
401,0
402,0
403,0
404,2
405,2
406,2
407,2
408,1
409,1
410,1
411,0
412,0
413,1
414,2
415,0
416,2
417,1
418,0
419,0
420,0
421,2
422,0
423,0
424,1
425,0
426,0
427,2
428,0
429,1
430,1
431,0
432,1
433,0
434,2
435,1
436,2
437,0
438,1
439,1
440,2
441,2
442,2
443,0
444,2
445,0
446,1
447,0
448,0
449,2
450,1
451,1
452,2
453,2
454,0
455,2
456,0
457,2
458,2
459,1
460,1
461,1
462,0
463,2
464,1
465,1
466,1
467,0
468,2
469,2
470,2
471,0
472,1
473,0
474,1
475,1
476,2
477,1
478,1
479,1
480,2
481,1
482,1
483,2
484,2
485,2
486,0
487,2
488,2
489,2
490,1
491,0
492,1
493,0
494,0
495,2
496,1
497,2
498,1
499,2
500,1
501,1
502,1
503,2
504,2
505,2
506,1
507,0
508,0
509,1
510,1
511,2
512,0
513,1
514,1
515,2
516,1
517,1
518,1
519,1
520,0
521,0
522,1
523,2
524,0
525,0
526,1
527,2
528,1
529,2
530,2
531,0
532,0
533,1
534,1
535,2
536,0
537,0
538,2
539,0
540,1
541,0
542,1
543,0
544,0
545,0
546,2
547,2
548,2
549,2
550,0
551,0
552,1
553,0
554,1
555,2
556,2
557,2
558,0
559,2
560,1
561,0
562,1
563,2
564,1
565,1
566,0
567,1
568,1
569,1
570,0
571,1
572,0
573,2
574,2
575,1
576,2
577,0
578,2
579,1
580,0
581,1
582,2
583,1
584,2
585,2
586,2
587,1
588,2
589,0
590,2
591,2
592,0
593,1
594,0
595,1
596,2
597,0
598,0
599,0
600,0
601,2
602,2
603,2
604,1
605,2
606,0
607,1
608,0
609,0
610,0
611,0
612,2
613,2
614,1
615,2
616,0
617,0
618,0
619,0
620,2
621,0
622,0
623,0
624,1
625,2
626,2
627,2
628,2
629,1
630,1
631,2
632,1
633,0
634,0
635,2
636,2
637,1
638,1
639,2
640,2
641,2
642,1
643,1
644,1
645,1
646,1
647,0
648,1
649,2
650,0
651,1
652,2
653,1
654,1
655,1
656,1
657,0
658,0
659,1
660,1
661,2
662,2
663,1
664,2
665,2
666,1
667,2
668,0
669,0
670,2
671,1
672,0
673,2
674,0
675,1
676,2
677,2
678,2
679,1
680,2
681,1
682,1
683,0
684,0
685,2
686,0
687,2
688,0
689,0
690,0
691,0
692,2
693,0
694,0
695,2
696,1
697,2
698,1
699,0
700,1
701,1
702,2
703,1
704,2
705,1
706,0
707,1
708,2
709,2
710,2
711,1
712,0
713,0
714,2
715,1
716,0
717,0
718,1
719,0
720,2
721,1
722,2
723,2
724,2
725,2
726,1
727,1
728,1
729,2
730,0
731,0
732,0
733,2
734,2
735,1
736,2
737,0
738,1
739,2
740,2
741,2
742,1
743,1
744,2
745,2
746,0
747,1
748,0
749,1
750,2
751,1
752,2
753,2
754,2
755,2
756,0
757,0
758,0
759,1
760,1
761,1
762,1
763,2
764,0
765,0
766,0
767,2
768,2
769,2
770,1
771,2
772,0
773,2
774,1
775,1
776,0
777,1
778,0
779,0
780,2
781,0
782,2
783,0
784,0
785,1
786,0
787,2
788,2
789,2
790,1
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,1
800,0
801,2
802,0
803,0
804,1
805,0
806,0
807,0
808,1
809,1
810,2
811,2
812,0
813,0
814,0
815,1
816,0
817,2
818,2
819,2
820,0
821,0
822,2
823,0
824,0
825,0
826,2
827,0
828,0
829,1
830,0
831,1
832,1
833,1
834,0
835,2
836,1
837,2
838,2
839,1
840,0
841,0
842,0
843,0
844,1
845,2
846,0
847,2
848,2
849,0
850,0
851,1
852,2
853,0
854,2
855,1
856,0
857,2
858,2
859,2
860,1
861,1
862,1
863,0
864,0
865,0
866,2
867,0
868,1
869,2
870,2
871,2
872,1
873,0
874,0
875,1
876,0
877,0
878,2
879,2
880,0
881,0
882,2
883,1
884,2
885,2
886,2
887,1
888,0
889,2
890,1
891,0
892,0
893,2
894,1
895,0
896,2
897,2
898,2
899,2
900,1
901,0
902,2
903,0
904,0
905,1
906,2
907,1
908,0
909,2
910,2
911,0
912,1
913,0
914,0
915,2
916,2
917,2
918,0
919,2
920,0
921,2
922,0
923,0
924,0
925,0
926,1
927,2
928,1
929,2
930,2
931,0
932,0
933,0
934,1
935,2
936,1
937,0
938,2
939,0
940,2
941,0
942,1
943,2
944,2
945,1
946,0
947,0
948,2
949,1
950,2
951,2
952,1
953,1
954,2
955,1
956,1
957,0
958,2
959,0
960,1
961,0
962,2
963,2
964,1
965,0
966,1
967,2
968,1
969,0
970,0
971,1
972,2
973,1
974,1
975,1
976,2
977,0
978,2
979,1
980,2
981,1
982,0
983,0
984,0
985,2
986,2
987,1
988,1
989,0
990,2
991,0
992,0
993,0
994,1
995,2
996,1
997,2
998,2
999,2
1000,1
1001,0
1002,1
1003,0
1004,2
1005,2
1006,1
1007,0
1008,1
1009,1
1010,2
1011,2
1012,1
1013,2
1014,1
1015,0
1016,0
1017,2
1018,1
1019,1
1020,0
1021,1
1022,2
1023,0
1024,0
1025,2
1026,1
1027,0
1028,2
1029,2
1030,1
1031,1
1032,2
1033,0
1034,1
1035,0
1036,1
1037,2
1038,1
1039,0
1040,1
1041,0
1042,0
1043,2
1044,1
1045,2
1046,2
1047,2
1048,2
1049,0
1050,0
1051,1
1052,1
1053,0
1054,2
1055,0
1056,0
1057,2
1058,1
1059,2
1060,1
1061,1
1062,0
1063,0
1064,0
1065,1
1066,0
1067,2
1068,0
1069,0
1070,0
1071,2
1072,0
1073,1
1074,0
1075,0
1076,2
1077,2
1078,1
1079,2
1080,2
1081,0
1082,0
1083,1
1084,1
1085,0
1086,2
1087,2
1088,0
1089,1
1090,0
1091,1
1092,1
1093,1
1094,2
1095,1
1096,2
1097,2
1098,1
1099,0
1100,2
1101,2
1102,1
1103,1
1104,0
1105,0
1106,2
1107,2
1108,1
1109,2
1110,2
1111,0
1112,1
1113,2
1114,2
1115,2
1116,2
1117,1
1118,1
1119,0
1120,1
1121,1
1122,2
1123,2
1124,1
1125,2
1126,2
1127,1
1128,2
1129,0
1130,1
1131,0
1132,2
1133,1
1134,0
1135,2
1136,0
1137,1
1138,2
1139,0
1140,0
1141,0
1142,0
1143,0
1144,1
1145,0
1146,2
1147,1
1148,2
1149,2
1150,0
1151,1
1152,2
1153,0
1154,1
1155,0
1156,1
1157,1
1158,1
1159,1
1160,1
1161,0
1162,0
1163,0
1164,2
1165,2
1166,0
1167,1
1168,2
1169,0
1170,0
1171,0
1172,0
1173,2
1174,0
1175,1
1176,2
1177,2
1178,2
1179,1
1180,1
1181,1
1182,1
1183,1
1184,0
1185,2
1186,2
1187,2
1188,1
1189,0
1190,2
1191,2
1192,1
1193,1
1194,2
1195,1
1196,1
1197,2
1198,0
1199,1
1200,2
1201,0
1202,1
1203,2
1204,1
1205,2
1206,1
1207,1
1208,1
1209,0
1210,2
1211,1
1212,2
1213,0
1214,1
1215,2
1216,0
1217,1
1218,1
1219,1
1220,1
1221,2
1222,1
1223,1
1224,0
1225,2
1226,2
1227,0
1228,2
1229,0
1230,2
1231,1
1232,1
1233,0
1234,1
